txn_id,user_id,merchant_id,merchant_name,device_id,amount,upi_app,txn_type,hour,day_of_week,is_weekend,is_night,is_new_device,is_new_merchant,velocity_1h,lat,lon,city,timestamp,label
TXN_HR_0034,USR_0076,MER_032,Unknown Merchant,DEV_0366,200000,gpay,P2P,0,5,1,1,1,1,8,22.8123,88.1806,Kolkata,2025-03-22 11:03:00,FRAUD
TXN_HR_0035,USR_0096,MER_049,Myntra,DEV_0446,4999,bhim,BILL,21,4,0,0,0,0,1,13.1543,77.7564,Bangalore,2025-03-21 07:18:00,LEGIT
TXN_HR_0036,USR_0181,MER_018,MakeMyTrip,DEV_0107,299,amazon_pay,RECHARGE,20,3,0,0,0,0,2,23.048,72.3852,Ahmedabad,2025-03-20 11:20:00,LEGIT
TXN_HR_0037,USR_0181,MER_027,Hotstar,DEV_0361,2499,bhim,RECHARGE,21,3,0,0,0,0,2,12.9315,80.7044,Chennai,2025-03-20 13:19:00,LEGIT
TXN_HR_0038,USR_0185,MER_081,Myntra,DEV_0305,999,amazon_pay,P2P,13,5,1,0,0,0,2,18.1274,73.6614,Pune,2025-03-22 15:54:00,LEGIT
TXN_HR_0039,USR_0105,MER_020,BookMyShow,DEV_0193,4999,phonepe,BILL,20,4,0,0,0,0,1,18.8697,73.6574,Pune,2025-03-21 14:53:00,LEGIT
TXN_HR_0040,USR_0090,MER_040,Reliance,DEV_0234,999,phonepe,BILL,10,6,1,0,0,0,2,28.5901,77.1472,Delhi,2025-03-23 01:18:00,LEGIT
TXN_HR_0041,USR_0009,MER_074,Hotstar,DEV_0057,999,phonepe,P2M,11,3,0,0,0,0,2,22.3863,88.0153,Kolkata,2025-03-20 10:01:00,LEGIT
TXN_HR_0042,USR_0012,MER_055,Unknown Merchant,DEV_0177,100000,gpay,P2P,4,4,0,1,1,1,7,17.8711,78.4588,Hyderabad,2025-03-21 06:40:00,FRAUD
TXN_HR_0043,USR_0181,MER_028,Unknown Merchant,DEV_0106,100000,paytm,P2P,3,6,1,1,1,0,7,22.6499,88.6634,Kolkata,2025-03-23 05:32:00,FRAUD
TXN_HR_0044,USR_0138,MER_051,Unknown Merchant,DEV_0271,100000,phonepe,P2P,0,4,0,1,1,1,6,18.7766,74.3352,Pune,2025-03-21 08:46:00,FRAUD
TXN_HR_0045,USR_0904,MER_666,Unknown Merchant,DEV_RING_004,150000,phonepe,P2P,1,3,0,1,1,1,8,28.6136,77.2151,Delhi,2025-03-20 01:14:00,FRAUD
TXN_HR_0046,USR_0044,MER_100,Myntra,DEV_0290,2499,bhim,P2M,12,6,1,0,0,0,1,12.8506,80.3138,Chennai,2025-03-23 12:02:00,LEGIT
TXN_HR_0047,USR_0195,MER_035,Unknown Merchant,DEV_0053,150000,phonepe,P2P,3,5,1,1,1,1,14,13.1374,80.1787,Chennai,2025-03-22 11:54:00,FRAUD
TXN_HR_0048,USR_0914,MER_777,Unknown Merchant,DEV_RING_004,85000,phonepe,P2P,1,3,0,1,1,1,6,28.6092,77.204,Delhi,2025-03-20 01:13:00,FRAUD
TXN_HR_0049,USR_0102,MER_011,Unknown Merchant,DEV_0192,150000,bhim,P2P,2,5,1,1,1,1,9,12.8827,80.5988,Chennai,2025-03-22 03:39:00,FRAUD
TXN_HR_0050,USR_0049,MER_098,Swiggy,DEV_0256,2499,amazon_pay,BILL,14,3,0,0,0,0,2,13.3507,77.592,Bangalore,2025-03-20 01:26:00,LEGIT
TXN_HR_0051,USR_0030,MER_034,Unknown Merchant,DEV_0344,150000,bhim,P2P,1,6,1,1,1,1,15,18.409,73.7492,Pune,2025-03-23 06:22:00,FRAUD
TXN_HR_0052,USR_0016,MER_072,PharmEasy,DEV_0451,2499,phonepe,BILL,13,4,0,0,0,0,2,22.1195,88.2083,Kolkata,2025-03-21 13:42:00,LEGIT
TXN_HR_0053,USR_0036,MER_065,BookMyShow,DEV_0120,299,amazon_pay,RECHARGE,21,4,0,0,0,0,2,17.1219,78.863,Hyderabad,2025-03-21 12:16:00,LEGIT
TXN_HR_0054,USR_0199,MER_037,BigBazaar,DEV_0239,2499,amazon_pay,RECHARGE,17,4,0,0,0,0,2,17.1466,78.4995,Hyderabad,2025-03-21 19:45:00,LEGIT
TXN_HR_0055,USR_0055,MER_026,Urban Company,DEV_0276,4999,paytm,RECHARGE,20,3,0,0,0,0,1,12.6919,80.5116,Chennai,2025-03-20 15:46:00,LEGIT
TXN_HR_0056,USR_0036,MER_082,BookMyShow,DEV_0124,4999,paytm,P2P,19,5,1,0,0,0,2,22.8617,87.9379,Kolkata,2025-03-22 20:16:00,LEGIT
TXN_HR_0057,USR_0059,MER_032,Myntra,DEV_0178,4999,phonepe,RECHARGE,17,4,0,0,0,0,1,23.01,88.5889,Kolkata,2025-03-21 09:53:00,LEGIT
TXN_HR_0058,USR_0051,MER_043,Zomato,DEV_0195,999,amazon_pay,P2P,13,4,0,0,0,0,2,22.6232,88.8074,Kolkata,2025-03-21 22:01:00,LEGIT
TXN_HR_0059,USR_0069,MER_039,BookMyShow,DEV_0253,999,phonepe,P2M,11,5,1,0,0,0,1,22.5073,88.285,Kolkata,2025-03-22 14:48:00,LEGIT
TXN_HR_0060,USR_0110,MER_060,Unknown Merchant,DEV_0119,200000,bhim,P2P,2,6,1,1,1,1,12,12.8672,77.832,Bangalore,2025-03-23 03:57:00,FRAUD
TXN_HR_0061,USR_0113,MER_043,BigBazaar,DEV_0418,2499,amazon_pay,P2P,21,5,1,0,0,0,2,22.3933,88.8112,Kolkata,2025-03-22 17:01:00,LEGIT
TXN_HR_0062,USR_0005,MER_065,Unknown Merchant,DEV_0417,150000,bhim,P2P,4,5,1,1,0,0,7,13.5007,80.2951,Chennai,2025-03-22 02:12:00,FRAUD
TXN_HR_0063,USR_0020,MER_086,Amazon,DEV_0392,299,gpay,BILL,17,5,1,0,0,0,1,19.4185,72.6091,Mumbai,2025-03-22 00:46:00,LEGIT
TXN_HR_0064,USR_0130,MER_066,MakeMyTrip,DEV_0251,2499,amazon_pay,RECHARGE,18,3,0,0,0,0,2,13.3984,80.1391,Chennai,2025-03-20 07:10:00,LEGIT
TXN_HR_0065,USR_0108,MER_077,Unknown Merchant,DEV_0071,150000,amazon_pay,P2P,4,6,1,1,1,1,14,13.165,77.7399,Bangalore,2025-03-23 08:19:00,FRAUD
TXN_HR_0066,USR_0150,MER_046,Amazon,DEV_0026,999,paytm,BILL,12,3,0,0,0,0,2,22.8082,72.0796,Ahmedabad,2025-03-20 02:17:00,LEGIT
TXN_HR_0067,USR_0086,MER_039,Amazon,DEV_0109,999,phonepe,P2M,16,4,0,0,0,0,2,17.7994,78.6823,Hyderabad,2025-03-21 18:34:00,LEGIT
TXN_HR_0068,USR_0034,MER_066,Unknown Merchant,DEV_0213,150000,bhim,P2P,0,4,0,1,1,1,10,23.2458,72.4673,Ahmedabad,2025-03-21 05:07:00,FRAUD
TXN_HR_0069,USR_0008,MER_082,BookMyShow,DEV_0402,2499,bhim,BILL,21,5,1,0,0,0,1,22.4284,88.805,Kolkata,2025-03-22 09:45:00,LEGIT
TXN_HR_0070,USR_0905,MER_666,Unknown Merchant,DEV_RING_005,120000,phonepe,P2P,1,3,0,1,1,1,9,28.6054,77.2002,Delhi,2025-03-20 01:19:00,FRAUD
TXN_HR_0071,USR_0062,MER_027,Unknown Merchant,DEV_0035,100000,gpay,P2P,4,4,0,1,1,1,6,22.3173,87.9081,Kolkata,2025-03-21 10:43:00,FRAUD
TXN_HR_0072,USR_0196,MER_032,IRCTC,DEV_0387,999,amazon_pay,P2M,21,4,0,0,0,0,2,23.0507,72.4332,Ahmedabad,2025-03-21 02:50:00,LEGIT
TXN_HR_0073,USR_0033,MER_013,BigBazaar,DEV_0192,299,paytm,RECHARGE,18,3,0,0,0,0,1,12.7818,80.2798,Chennai,2025-03-20 05:00:00,LEGIT
TXN_HR_0074,USR_0059,MER_028,Urban Company,DEV_0355,299,amazon_pay,BILL,17,5,1,0,0,0,2,28.1605,76.7833,Delhi,2025-03-22 06:29:00,LEGIT
TXN_HR_0075,USR_0004,MER_095,Reliance,DEV_0405,999,paytm,P2P,20,3,0,0,0,0,1,13.1937,80.4094,Chennai,2025-03-20 21:34:00,LEGIT
TXN_HR_0076,USR_0107,MER_091,Urban Company,DEV_0228,4999,bhim,P2P,15,6,1,0,0,0,1,23.0879,72.8673,Ahmedabad,2025-03-23 10:48:00,LEGIT
TXN_HR_0077,USR_0177,MER_093,Flipkart,DEV_0257,999,paytm,P2M,15,5,1,0,0,0,1,18.4575,74.1954,Pune,2025-03-22 09:05:00,LEGIT
TXN_HR_0078,USR_0911,MER_777,Unknown Merchant,DEV_RING_001,85000,phonepe,P2P,1,3,0,1,1,1,9,28.6132,77.2058,Delhi,2025-03-20 01:03:00,FRAUD
TXN_HR_0079,USR_0101,MER_060,Dunzo,DEV_0348,2499,amazon_pay,P2P,16,6,1,0,0,0,2,17.8827,78.4695,Hyderabad,2025-03-23 00:35:00,LEGIT
TXN_HR_0080,USR_0053,MER_048,Reliance,DEV_0212,2499,gpay,P2P,21,4,0,0,0,0,1,22.5387,72.6247,Ahmedabad,2025-03-21 20:43:00,LEGIT
