txn_id,user_id,merchant_id,merchant_name,device_id,amount,upi_app,txn_type,hour,day_of_week,is_weekend,is_night,is_new_device,is_new_merchant,velocity_1h,lat,lon,city,timestamp
TXN_N_0030,USR_0046,MER_053,Amazon,DEV_0092,499,paytm,RECHARGE,0,3,0,1,0,0,1,17.3617,78.5154,Hyderabad,2025-03-06 00:11:00
TXN_N_0031,USR_0121,MER_029,Zomato,DEV_0419,199,bhim,P2M,3,3,0,1,0,0,1,22.5449,88.3799,Kolkata,2025-03-06 03:06:00
TXN_N_0032,USR_0018,MER_099,BookMyShow,DEV_0180,1499,amazon_pay,RECHARGE,7,3,0,0,0,0,2,18.5643,73.8182,Pune,2025-03-06 07:13:00
TXN_N_0033,USR_0068,MER_005,Flipkart,DEV_0306,14999,bhim,P2M,10,3,0,0,0,0,3,13.02,77.5562,Bangalore,2025-03-06 10:52:00
TXN_N_0034,USR_0012,MER_091,BigBazaar,DEV_0001,1499,amazon_pay,BILL,15,3,0,0,0,0,3,17.4021,78.4731,Hyderabad,2025-03-06 15:21:00
TXN_N_0035,USR_0081,MER_085,Urban Company,DEV_0064,14999,paytm,BILL,18,3,0,0,0,0,2,18.5401,73.8621,Pune,2025-03-06 18:16:00
TXN_N_0036,USR_0098,MER_087,Hotstar,DEV_0463,19999,phonepe,BILL,22,3,0,0,0,0,1,22.553,88.3349,Kolkata,2025-03-06 22:12:00
TXN_N_0037,USR_0114,MER_057,IRCTC,DEV_0110,7499,amazon_pay,RECHARGE,2,4,0,1,0,0,3,18.4874,73.8152,Pune,2025-03-07 02:38:00
TXN_N_0038,USR_0193,MER_031,IRCTC,DEV_0159,299,phonepe,P2M,6,4,0,0,0,1,2,18.5315,73.8835,Pune,2025-03-07 06:08:00
TXN_N_0039,USR_0148,MER_025,Hotstar,DEV_0357,19999,bhim,RECHARGE,9,4,0,0,0,0,3,22.5232,88.389,Kolkata,2025-03-07 09:53:00
TXN_N_0040,USR_0057,MER_023,Dunzo,DEV_0491,4999,amazon_pay,RECHARGE,14,4,0,0,0,0,1,28.6095,77.2391,Delhi,2025-03-07 14:01:00
TXN_N_0041,USR_0157,MER_093,MakeMyTrip,DEV_0219,7499,amazon_pay,RECHARGE,17,4,0,0,0,0,2,18.5154,73.8819,Pune,2025-03-07 17:42:00
TXN_N_0042,USR_0125,MER_081,Zomato,DEV_0141,9999,bhim,P2M,21,4,0,0,0,0,2,13.0647,80.2747,Chennai,2025-03-07 21:41:00
TXN_N_0043,USR_0099,MER_089,Swiggy,DEV_0362,999,phonepe,P2M,0,5,1,1,0,0,2,12.9632,77.5653,Bangalore,2025-03-08 00:44:00
TXN_N_0044,USR_0179,MER_003,Urban Company,DEV_0451,14999,amazon_pay,RECHARGE,4,5,1,1,0,0,2,22.5979,88.3992,Kolkata,2025-03-08 04:50:00
TXN_N_0045,USR_0192,MER_095,MakeMyTrip,DEV_0410,9999,amazon_pay,P2M,9,5,1,0,0,0,2,22.5255,88.3475,Kolkata,2025-03-08 09:05:00
TXN_N_0046,USR_0120,MER_017,PharmEasy,DEV_0274,499,gpay,RECHARGE,12,5,1,0,0,0,1,22.5869,88.3275,Kolkata,2025-03-08 12:43:00
TXN_N_0047,USR_0067,MER_049,Reliance,DEV_0109,199,bhim,P2M,16,5,1,0,0,0,2,12.9968,77.6278,Bangalore,2025-03-08 16:17:00
TXN_N_0048,USR_0005,MER_096,MakeMyTrip,DEV_0027,7499,paytm,P2M,19,5,1,0,0,0,3,28.5679,77.1621,Delhi,2025-03-08 19:52:00
TXN_N_0049,USR_0160,MER_020,Zomato,DEV_0065,199,bhim,P2M,23,5,1,1,0,0,3,17.3606,78.4736,Hyderabad,2025-03-08 23:39:00
TXN_N_0050,USR_0080,MER_014,PharmEasy,DEV_0014,499,paytm,BILL,3,6,1,1,0,0,2,28.658,77.1788,Delhi,2025-03-09 03:50:00
TXN_N_0051,USR_0179,MER_099,BookMyShow,DEV_0436,299,amazon_pay,P2M,7,6,1,0,0,0,1,17.3697,78.4795,Hyderabad,2025-03-09 07:37:00
TXN_N_0052,USR_0166,MER_044,Amazon,DEV_0435,9999,bhim,RECHARGE,11,6,1,0,0,0,3,28.6531,77.205,Delhi,2025-03-09 11:11:00
TXN_N_0053,USR_0188,MER_067,IRCTC,DEV_0139,499,amazon_pay,BILL,14,6,1,0,0,0,3,22.5818,88.3461,Kolkata,2025-03-09 14:45:00
TXN_N_0054,USR_0116,MER_032,Dunzo,DEV_0238,1499,amazon_pay,BILL,18,6,1,0,0,0,2,28.649,77.1772,Delhi,2025-03-09 18:39:00
TXN_N_0055,USR_0088,MER_036,PharmEasy,DEV_0360,1499,paytm,BILL,22,6,1,0,1,0,1,18.4945,73.8473,Pune,2025-03-09 22:25:00
TXN_N_0056,USR_0166,MER_092,Myntra,DEV_0230,7499,gpay,P2M,2,0,0,1,0,0,1,17.3656,78.4949,Hyderabad,2025-03-10 02:35:00
TXN_N_0057,USR_0191,MER_071,Reliance,DEV_0181,4999,bhim,P2M,6,0,0,0,0,0,3,18.4897,73.8187,Pune,2025-03-10 06:18:00
TXN_N_0058,USR_0056,MER_095,Myntra,DEV_0142,999,amazon_pay,BILL,10,0,0,0,0,0,1,12.9512,77.5807,Bangalore,2025-03-10 10:10:00
TXN_N_0059,USR_0033,MER_036,Amazon,DEV_0499,9999,gpay,BILL,13,0,0,0,0,0,3,19.1128,72.8768,Mumbai,2025-03-10 13:43:00
TXN_N_0060,USR_0073,MER_061,Myntra,DEV_0226,14999,paytm,P2M,18,0,0,0,0,0,2,19.0374,72.8342,Mumbai,2025-03-10 18:07:00
